cell_id,task_id,candidate_trace_id,candidate_model,verdict,justification,minutes_spent
22,1a1cea07-b88e-41aa-b19b-787de4a26cd4,28a90d31-f7cc-4b05-a11b-530c30be1151,moonshotai/kimi-k2.6,,,
23,1adeeaf2-bfc5-4c46-9dd2-c99c93870b94,2477d891-6521-48c5-8680-0bed7b9ccd26,x-ai/grok-4.3,,,
24,1ca2ed68-18df-42b7-806a-cbd4d15a5102,718dffbc-7911-418a-88f6-91ef9e7ef9ef,openai/gpt-5.4-mini,,,
25,1cdc9eb8-0bea-4e93-a775-e804981ed423,f066a93e-c880-4dc8-bd99-4e5ea36321a3,qwen/qwen3.7-max,,,
26,1ed0dab2-b869-44b3-8d5b-9197cb00ad07,55f077d2-68d3-488c-acf9-d8ed5029195b,z-ai/glm-5.1,,,
27,200bd6a2-d6c5-4ce9-894f-80bd8d826db0,b181fef3-eadd-47f2-8432-a774c5482a9a,deepseek/deepseek-v4-pro,,,
28,205a43d9-b164-4928-9df3-c444000dda01,00de3b99-81a4-493b-b230-a9526be4e60e,minimax/minimax-m3,,,
29,21934c4c-d76e-4ce7-81b6-d986edfe5a02,85253ffe-e8d2-4a68-a7df-a4fc589fb685,anthropic/claude-haiku-4.5,,,
30,2203b6b7-f30d-47f4-b933-e8c1a2d24784,39afaf22-5f70-4503-88c1-cd9d0ee12e54,moonshotai/kimi-k2.6,,,
31,23651b64-7ebb-4583-883a-45150be44ce8,dbc8b3ef-50d3-43cd-a96d-13c1fee5d97b,x-ai/grok-4.3,,,
32,25b73a60-f5cf-4680-9225-714a7d6de8e5,31728fab-51c4-4bcd-9be0-e77e02aaae63,openai/gpt-5.4-mini,,,
33,262b5731-6654-4863-afc4-260e99a1898b,864fc248-bf14-4929-81b8-4d327ead7b95,qwen/qwen3.7-max,,,
34,278db912-5ffe-44c1-af95-46fef4ae303e,5673e8ea-4994-44a4-b68a-9af3e97585f5,z-ai/glm-5.1,,,
35,28518c98-97ea-4b87-b98d-54399d86606c,3128b38f-d122-4bb0-bcff-ae7dac672caa,deepseek/deepseek-v4-pro,,,
36,2a45cf40-b281-44ff-bfa2-8d8d95512795,0e183eb7-b5cf-4747-9753-3f6f67132575,minimax/minimax-m3,,,
37,2b789f63-443c-41fd-aaf5-00446da42476,df35ea1d-a314-43bb-9e4c-381c3349668a,anthropic/claude-haiku-4.5,,,
38,2cabb8c3-7940-4cc9-a741-956bd9a73587,5b880561-4e02-4b68-8ec3-d38ac2aa6d30,moonshotai/kimi-k2.6,,,
39,2ead862d-5a35-4929-a3d4-39047e567e5f,bfe8143a-414e-44b9-9196-444debbac21b,x-ai/grok-4.3,,,
40,2eae7c6f-2b63-4fef-983e-993a6fb620f0,930d3ee2-f486-46c2-ad0c-41665347efea,openai/gpt-5.4-mini,,,
41,305553d2-fb6d-4367-8fa5-ab8ac8ef38f6,bcf3d154-ce7c-4655-b3bc-6b6bf1381968,qwen/qwen3.7-max,,,
42,30cd8392-5e22-4a68-b3f6-6c0344e224de,4e597b9e-ded1-432b-b23b-d2bf85312864,z-ai/glm-5.1,,,
43,32d4661d-b6cf-446a-8d68-a1103753ea22,f9a825ae-9288-4293-b3d1-9ffd78b0bdc1,deepseek/deepseek-v4-pro,,,
44,391c76c5-d971-4b93-b0f1-43edac52132f,574955c5-b843-4619-81f6-df601fbc034f,minimax/minimax-m3,,,
45,3c6e85b1-dc23-4f65-bdc3-eff74209def8,72dac8c5-738a-4ec9-a6d1-e72715639278,anthropic/claude-haiku-4.5,,,
46,3d35db3f-08d0-4f2d-a8b7-2e6f5cb78a06,df4b7d10-6f33-45fd-ad18-5b6d6e12bfa8,moonshotai/kimi-k2.6,,,
47,3e704a4e-29e1-41ac-8b1a-64ba3b94f162,55470bae-a1d8-4532-b649-8a7eb1ff80f0,x-ai/grok-4.3,,,
48,3e8557e7-f70c-403f-884a-30274ffa3bdd,6f4ce233-9428-4eea-af87-1d584470909e,openai/gpt-5.4-mini,,,
49,40724e53-1297-45c9-b61f-6c6d00836811,75420e87-70f0-4a7a-b06a-2b2a3c86c3ac,qwen/qwen3.7-max,,,
50,40b9980a-7e35-4726-9491-6671f80e93b8,edf8a432-9946-4caa-9b56-7dfb253e865d,z-ai/glm-5.1,,,
51,40fb0dbf-b771-4869-9a6b-fafba69adfeb,15f374a2-6d1d-4819-b38d-5800349fdf3d,deepseek/deepseek-v4-pro,,,
52,41639071-ca1e-45c7-acb7-484962f0d944,8c2e8919-c983-48df-8711-f49ce05125e4,minimax/minimax-m3,,,
53,41be1cfc-869a-41fa-bcb7-bf46ab606d4c,352c7dc7-66a0-4be9-a1f5-c5f7c4353c42,anthropic/claude-haiku-4.5,,,
54,41e38d54-10c7-496b-8989-f8ec3c8acc46,71824ae8-4238-422c-9acc-d0a76dd25999,moonshotai/kimi-k2.6,,,
55,44b0fdaf-37f1-4fcb-a6eb-2942480bcdef,77b28c09-1da7-4e4f-ae20-e9a294ef9601,x-ai/grok-4.3,,,
56,45d76495-305f-4ad7-8da0-745ddcc69243,aa8aa5e3-8abf-4c1d-a12c-b006070bcb88,openai/gpt-5.4-mini,,,
57,45e746e7-e9ec-46e9-9af3-6f9765c03add,2da62f3a-3016-4f8e-b771-b511589633b0,qwen/qwen3.7-max,,,
58,46cf9f04-f0f6-412c-bb54-f90944c0d382,6b0ea502-33b7-4bf3-8e69-504251c5d940,z-ai/glm-5.1,,,
59,476e4f06-0c23-4fa1-84fc-85f0d64be61f,d88dae1f-5b0b-4ae5-bc9f-d65245785a03,deepseek/deepseek-v4-pro,,,
60,47d3ca9b-0ef5-40ac-aa4f-4f6b6fb218fa,70243955-de5c-481a-8a17-176d43dfc993,minimax/minimax-m3,,,
61,47fb359b-5c0f-4f85-94fb-01d941542a08,3e1f85af-ca63-44d4-80b2-63175c99b6df,anthropic/claude-haiku-4.5,,,
62,48383bd4-0f82-4675-b6d6-48b2709199f4,045730cc-db63-42cb-a07a-a25191e0d578,moonshotai/kimi-k2.6,,,
63,483e96c9-019c-4c40-873d-9ba8b2591b80,4dc8da30-10bf-4aee-a0ac-9fabb32ab494,x-ai/grok-4.3,,,
64,49cf7acf-8821-4945-9dcb-1a10c2c00048,5a35497d-353a-43f7-86c2-0e0eb7d454bf,openai/gpt-5.4-mini,,,
65,4a11fceb-9bd6-483b-9835-af4befc60852,7813507a-52e4-4973-b0d0-6f51f5c0bbb6,qwen/qwen3.7-max,,,
66,4a3f9ad6-12ef-41b5-981c-cb5d02e7f86e,ce32117e-b0de-4928-b453-da03772d4217,z-ai/glm-5.1,,,
67,4a544cd6-bc10-4365-b6bf-980292749ca5,1e2a01b1-3fce-4a4e-a85b-02bdda0b3181,deepseek/deepseek-v4-pro,,,
68,4a6243ba-eaba-42dd-aa8a-636b0b0661de,13164105-6253-408e-9c2f-3df353e3d78f,minimax/minimax-m3,,,
69,4b45e03e-2840-434d-9c6e-e938603a9a56,19ff53a0-e0d1-48c8-842d-cd110a9b7825,anthropic/claude-haiku-4.5,,,
70,4bbd0fc3-42d6-4c70-bd71-1014ec489ac8,de450e2d-1b0c-4c71-87c3-1a4e513740ef,moonshotai/kimi-k2.6,,,
71,4d3430c3-0ad9-4576-a66c-204a95e2c502,eb1e5f39-a7fe-4b87-a43a-c6421fca19a7,x-ai/grok-4.3,,,
72,4d98df02-06a6-480a-af98-f3cfb438f5ff,8e85ee9b-61af-40fb-96cd-fc637aa84bef,openai/gpt-5.4-mini,,,
73,505d8dcc-5214-47ad-a2ca-2e7412215197,c0acf092-89ce-4522-8e0f-4842b8b85e7a,qwen/qwen3.7-max,,,
74,51ad0eea-b42d-4b9e-a330-1f9d658ef0ba,1359d452-e6e6-499b-a855-c0fd55b80956,z-ai/glm-5.1,,,
75,51d1b415-e5d9-42aa-bfbe-f36c3eb2de8c,44ee75cf-4913-4447-a95c-cebcdca5cf21,deepseek/deepseek-v4-pro,,,
76,54476d9d-9182-439c-a49c-4568c5ba8e57,d8796cd7-8980-46f6-96c4-b675c42d0f4f,minimax/minimax-m3,,,
77,594f2d92-7a12-4fa0-a442-852e6aa9dba5,9aacff19-f49f-4f2e-8401-7afd715e2378,anthropic/claude-haiku-4.5,,,
78,5c807c7c-b012-4894-a848-0a55099a7e02,d277b971-0889-421b-bb9e-d8bd29f8a84d,moonshotai/kimi-k2.6,,,
79,5c93ed21-2c0d-4db0-b104-176c965c723b,30f10705-cda1-4f8c-977c-ed7f21a33c55,x-ai/grok-4.3,,,
80,5e6c2a1a-52b4-41ac-ab93-b2aab21fd691,886eb3ac-018d-48e2-b042-b3eff017ff16,openai/gpt-5.4-mini,,,
81,5f9f7dee-ae4e-43bc-b4c0-ed5b420b3870,120b795c-575c-4d13-8a89-abe7382fd874,qwen/qwen3.7-max,,,
82,630012ca-fc8e-4038-818f-be565abf2501,054cac07-2a53-4604-95aa-9ca87c3e3a0f,z-ai/glm-5.1,,,
83,64e453d2-5d07-4f9a-8cc8-bbb59edb6a94,1a4bbdfb-7976-4785-a89a-f1c4be683e2f,deepseek/deepseek-v4-pro,,,
84,69b999a0-04e3-44b8-816d-ca0e9749b783,37ad8b51-f4da-4814-9ed8-c1f6d417354d,minimax/minimax-m3,,,
85,6a6436f1-fe2b-45c5-8bbd-03a23979373c,310c9812-4132-43bc-91f8-d1dc918a8357,anthropic/claude-haiku-4.5,,,
86,6adf0849-21da-4c61-b1c6-9010ac50f0eb,621a008c-1138-4f76-8290-569c826bf902,moonshotai/kimi-k2.6,,,
87,6b84bf75-059f-41d7-b06c-6dac13a9bb46,1862eedb-0972-4965-bc27-edaaa6b30f0f,x-ai/grok-4.3,,,
88,6d774eb0-00ce-43f4-9d85-2eced96576d5,d8a94f10-2c5d-4ef9-9963-f619af86af73,openai/gpt-5.4-mini,,,
89,6e170c79-3e3b-40f9-8b9f-6718f596ac59,b5f34e13-7d8d-4185-a34b-58119764fa45,qwen/qwen3.7-max,,,
90,70b043bb-7b20-4843-8752-64fd638fdfe9,26f552ea-1362-473e-9ee9-cb45270eb5a4,z-ai/glm-5.1,,,
91,7320d90a-4077-4eb6-a851-4347216a0cc5,bf6e7490-d5b0-450c-98e6-bae28aeeced6,deepseek/deepseek-v4-pro,,,
92,73fc3b17-8fc0-4cab-8383-64a1df3e8b9a,ff594604-fadb-4b96-be0b-5b75feabad15,minimax/minimax-m3,,,
93,75148745-3349-4380-b277-b632905abd60,e6414666-7687-4c15-b497-6d036f0d1885,anthropic/claude-haiku-4.5,,,
94,75294d6e-75ce-4928-bc8b-843c8efaa184,f516c770-4fcc-4dea-ab77-4b620eb2d6ac,moonshotai/kimi-k2.6,,,
95,75988d6c-c78f-4aea-ad52-ab779e45eb9a,f7655e0a-ac4c-4001-b33f-6caa7e2c28b9,x-ai/grok-4.3,,,
96,75b067d2-d8a0-4b6a-b8b3-7034feba71d6,ed9ebad2-3c9e-4b2e-9c16-ed3bf1fb500e,openai/gpt-5.4-mini,,,
97,76acbc9c-d853-4a2c-bb55-b7eaa499f0dd,c78ac01a-8f73-40cd-bbd9-956a42b02ddb,qwen/qwen3.7-max,,,
98,7a17aa6f-e799-4e0b-9b92-961bb8834628,afd014be-b717-4620-9491-1f1185b5f497,z-ai/glm-5.1,,,
99,7af07549-4c57-48d1-b8e5-176d516415ef,d830cffe-dc02-40ba-a8cc-25e19d4a4e8a,deepseek/deepseek-v4-pro,,,
100,7bf551e8-94f2-4842-9ab6-d840a0b26715,c12e4032-e28b-46e3-b439-79e180b9bec2,minimax/minimax-m3,,,
